epoch,train_loss,val_loss,mean_val_dice,lr,time_s,dice_2ch,dice_4ch,dice_sax
1,0.07456129015448314,0.1383759187261349,0.8606255412147367,5e-05,6677.796588897705,0.8723927851292685,0.8855766012086901,0.8239072373062514
2,0.05743982242197901,0.14302501359704844,0.8557670247871906,5e-05,6657.363405942917,0.8727998749394597,0.8840777622383484,0.8104234371837634
3,0.05169854701520364,0.1487707341674455,0.8575483286330724,5e-05,6552.927888870239,0.8719647769256146,0.8844041134237834,0.8162760955498193
4,0.04727682396113766,0.15407357861086265,0.8541932682413567,5e-05,10309.968404054642,0.8721038571030824,0.8809777819741633,0.8094981656468244
