epoch,train_loss,val_loss,mean_val_dice,lr,time_s,dice_2ch,dice_4ch,dice_sax,dice_ras
1,0.6754581127793361,0.6201099112097707,0.4280869715971658,0.0001,791.0222299098969,0.218854817988341,0.5126140332741917,0.2912023933334147,0.6896766417927157
2,0.5225159745567884,0.5575671761429736,0.5899616060405872,0.0001,90.3238651752472,0.578593473743939,0.6179664411942504,0.4412139420653819,0.7220725671587778
3,0.4371533521697817,0.5182184880333287,0.6149660096657569,0.0001,90.7097008228302,0.5871629627775005,0.6537336483651198,0.4828956376171071,0.7360717899033001
4,0.3705069254924599,0.4904363187296049,0.6319365068671216,0.0001,91.6383731365204,0.5996375073262349,0.6308747008229219,0.5207762465643249,0.7764575727550047
5,0.3144064808312135,0.4821511103904673,0.634598602213836,0.0001,92.75930213928224,0.5846890364797476,0.637150249140237,0.533788498083257,0.7827666251521025
6,0.2664354896714163,0.4748052065925939,0.6387124573516009,0.0001,92.90904426574708,0.5788429011756611,0.6368493140486332,0.5422330124739696,0.7969246017081397
7,0.2247623420264731,0.4654966376588813,0.640242401269041,0.0001,93.46312189102171,0.5780498286421024,0.639708476824133,0.5476617712027294,0.7955495284071991
8,0.190900043815247,0.4684205975250474,0.6222236422294325,0.0001,93.35363292694092,0.5789370763118061,0.6192989618674254,0.5149998498141511,0.7756586809243474
8,0.19350400009057206,0.46426943303751095,0.6378157637385199,0.0001,127.49677085876465,0.5809102483549228,0.6194892125513216,0.5653686669970232,0.7854949270508119
9,0.1654258692660966,0.45472830553938237,0.6399230948203967,0.0001,126.99748992919922,0.5873052346703475,0.6342724215840182,0.549495320497283,0.7886194025299379
10,0.13766878355756149,0.4565116941729294,0.6442971338595888,0.0001,128.5225489139557,0.5771001580916347,0.637058006617716,0.5626888108889039,0.8003415598401001
11,0.12034815937503536,0.45919454666519804,0.6371902773849156,0.0001,126.53804278373718,0.5799277932736651,0.6224764697986809,0.5341132864043289,0.8122435600629875
12,0.1032090271409187,0.4486700148055596,0.6466454287882506,0.0001,127.99963617324829,0.5854984823534769,0.6363330501756714,0.5589221445529711,0.8058280380708831
13,0.09017506116229054,0.46433295879978687,0.641954569394727,0.0001,127.86940598487854,0.5748776525856143,0.6229268576712838,0.5591703198326117,0.8108434474893979
